,Topic,Count,Name,Representation,Representative_Docs
14,13,836,13_potential_fair_claim_alphabet,"['potential', 'fair', 'claim', 'alphabet', 'cribe', 'sub', 'hip', 'og', 'author', 'shortage']","['the potential', 'the potential', 'the potential']"
15,14,800,14_bacteria_negative_rina_polar,"['bacteria', 'negative', 'rina', 'polar', 'infection', 'li', 'gram', 'iga', 'caused', 'pneumonia']","['infections caused by gram - negative bacteria cause u rina ry', 'infections caused by gram - negative bacteria cause u rina ry', 'infections caused by gram - negative bacteria cause u rina ry']"
16,15,745,15_doubtful_downstream_mining_ators,"['doubtful', 'downstream', 'mining', 'ators', '79', 'fair', 'fueled', 'side', 'ransom', 'called']","['we as a society , but especially as origin ators , as writers , need : a clear legal position on the exception ( s ) on text and data mining within art 3 and art 4 of the 2019 / 79 0 c ds m direct ive , to c lar ify , whether machine learning is covered by t d m or not , which is at this time highly doubtful ,', 'we as a society , but especially as origin ators , as writers , need : a clear legal position on the exception ( s ) on text and data mining within art 3 and art 4 of the 2019 / 79 0 c ds m direct ive , to c lar ify , whether machine learning is covered by t d m or not , which is at this time highly doubtful ,', 'we as a society , but especially as origin ators , as writers , need : a clear legal position on the exception ( s ) on text and data mining within art 3 and art 4 of the 2019 / 79 0 c ds m direct ive , to c lar ify , whether machine learning is covered by t d m or not , which is at this time highly doubtful ,']"
17,16,723,16_kill_ups_openai_pricing,"['kill', 'ups', 'openai', 'pricing', 'chatgpt', 'ilo', 'ski', 'cop', 'igate', 'staff']","['pro mpt training s to ups kill their employees', 'to help employees ups kill their a i knowledge', 'to help employees ups kill their a i knowledge']"
18,17,707,17_vat_ar_diffusion_stable,"['vat', 'ar', 'diffusion', 'stable', 'ccelerator', 'surprise', 'string', 'generative', 'mat', 'vacuum']","['to create a vat ars .', 'to use a i a vat ar', 'vat ar']"
19,18,691,18_structure_bank_bin_anti,"['structure', 'bank', 'bin', 'anti', 'pate', 'rail', 'ci', 'venture', 'ltration', 'un']","['needed for un structure d data sets )', 'large amounts of un structure d data ,', 'with un structure d data']"
20,19,681,19_charge_axis_ability_encryption,"['charge', 'axis', 'ability', 'encryption', 'shift', 'prop', 'diversity', 'ka', 'stripe', 'think']","['model', 'models', 'models']"
21,20,662,20_ype_content_formation_sin,"['ype', 'content', 'formation', 'sin', 'sand', 'h', 'detection', 'tip', 'iga', 'box']","['to create and target mi sin formation', ', the h ype', 'all the h ype .']"
22,21,658,21_prompt_reputation_appropriate_lack,"['prompt', 'reputation', 'appropriate', 'lack', 'right', 'height', 'quality', 'crow', 'volunteer', 'cash']","['prompts', 'prompts', 'prompts']"
23,22,635,22_zoo_che_orm_def,"['zoo', 'che', 'orm', 'def', 'ena', 'safety', 'suggestion', 'ka', 'al', 'esta']","['to meet multiple priorities : building and bringing together un structure d proprietary data sets and tapping into external data ecosystems esta b lishing a data platform as a “ single source of truth ” for', 'considering he is explaining a ka f ka - es que nightmare in which one of the world is most valuable companies continually publishes a def ama tory suggestion about him , [] explains that if you go', 'to meet multiple priorities : building and bringing together un structure d proprietary data sets and tapping into external data ecosystems esta b lishing a data platform as a “ single source of truth ” for']"
24,23,631,23_filter_vector_patch_node,"['filter', 'vector', 'patch', 'node', 'assumption', 'playing', 'bottle', 'neck', 'filtering', 'field']","['other filters', 'filters', 'filter , which']"
25,24,626,24_logistics_wa_t_pressure,"['logistics', 'wa', 't', 'pressure', 'consciousness', 'expedition', 'cave', 'marine', 'slav', 'ii']","['wa ts on x ,', 'wa ts on x ,', 'wa ts on x and genera tive a i']"
26,25,614,25_click_timely_lter_personalised,"['click', 'timely', 'lter', 'personalised', 'equipped', 'gpt', 'ul', 'awareness', 'promptly', 'scratch']","['promptly ● foster a culture of security awareness and education to ensure all team members are equipped to recognize and mit igate security risks ● collaborate with security experts to stay updated on the latest threats and best practices for ll m security by ad hering to the o was p top 10 for ll ms , s re teams can pro active ly address the unique security challenges of ll m applications and ensure that these powerful tools are used safely and re sp ons ibly within their organizations .', 'promptly ● foster a culture of security awareness and education to ensure all team members are equipped to recognize and mit igate security risks ● collaborate with security experts to stay updated on the latest threats and best practices for ll m security by ad hering to the o was p top 10 for ll ms , s re teams can pro active ly address the unique security challenges of ll m applications and ensure that these powerful tools are used safely and re sp ons ibly within their organizations .', 'promptly ● foster a culture of security awareness and education to ensure all team members are equipped to recognize and mit igate security risks ● collaborate with security experts to stay updated on the latest threats and best practices for ll m security by ad hering to the o was p top 10 for ll ms , s re teams can pro active ly address the unique security challenges of ll m applications and ensure that these powerful tools are used safely and re sp ons ibly within their organizations .']"
27,26,602,26_pulmonary_pathic_lot_approach,"['pulmonary', 'pathic', 'lot', 'approach', 'bro', 'dynamically', 'invest', 'lung', 'id', 'pf']","['a i , for the treatment of id io pathic pulmonary fi bro sis ( i pf ) , a chronic lung disease that causes', 'a i , for the treatment of id io pathic pulmonary fi bro sis ( i pf ) , a chronic lung disease that causes', 'a i , for the treatment of id io pathic pulmonary fi bro sis ( i pf ) , a chronic lung disease that causes']"
28,27,599,27_chatgpt_intermediate_spotlight_play,"['chatgpt', 'intermediate', 'spotlight', 'play', 'team', 'agreement', 'antipatterns', 'celebrity', 'mobile', 'ability']","['arguably , the best * free * chat bot on the market available both via the chat g pt website / mobile app as well as via [] is bin g search engine con s : as of this writing , chat g pt offers responses with data that was last updated in se pt . 202 1 , so', 'availability : desktop and mobile browser , and mobile app cost : free languages : same number of languages as plus pro s : arguably , the best * free * chat bot on the market available both via the chat g pt website / mobile app as well as via [] is bin g search engine con s : as of this writing , chat g pt offers responses with data that was last updated in se pt . 202 1 ,', 'arguably , the best * free * chat bot on the market available both via the chat g pt website / mobile app as well as via [] is bin g search engine con s : as of this writing , chat g pt offers responses with data that was last updated in se pt . 202 1 , so']"
29,28,599,28_misinformation_query_un_happens,"['misinformation', 'query', 'un', 'happens', 'convenience', 'abbreviation', 'consideration', 'property', 'instance', 'elastic']","['misinformation', 'misinformation', 'misinformation']"
30,29,589,29_igate_yan_integration_firm,"['igate', 'yan', 'integration', 'firm', 'attorney', 'ec', 'ilitating', 'meet', 'jump', 'tar']","['ding technology fo r one thing , attorneys have an ethical obligation to understand a technology before using it , stem ming from their duty to provide a client competent representation — see a ba model rule 1 . 1 . an attorney must have the knowledge necessary to', 'fo r one thing , attorneys have an ethical obligation to understand a technology before using it , stem ming from their duty to provide a client competent representation — see a ba model rule 1 . 1 .', 'fo r one thing , attorneys have an ethical obligation to understand a technology before using it , stem ming from their duty to provide a client competent representation — see a ba model rule 1 . 1 .']"
31,30,586,30_ai_formation_sin_workflow,"['ai', 'formation', 'sin', 'workflow', 'stack', 'int', 'mi', 'pa', 'raising', 'spread']","['ai', 'ai', 'ai']"
32,31,580,31_nearest_court_neighbor_talentgpt,"['nearest', 'court', 'neighbor', 'talentgpt', 'cooling', 'said', 'pan', 'lending', 'gable', 'boring']","['genera', 'genera', 'genera']"
33,32,579,32_drive_issue_supervision_firefly,"['drive', 'issue', 'supervision', 'firefly', 'depends', 'guest', 'pet', 'sneak', 'documentation', 'agan']","['drive', 'drive', 'drive']"
34,33,578,33_text_tock_ters_shut,"['text', 'tock', 'ters', 'shut', 'statistical', 'faith', 'aper', 'achi', 'tooth', 'soldier']","['stock image giant shut ters tock has announced a major push into a i - generated imagery today', '” the contributor fund will pay shut ters tock', ""ready in [] , j an . 25 , 202 3 / p rne ws wire / - - shut ters tock , in c . ( n ys e : s st k ) , the world ' s leading creative platform for transform ative brands and media companies , today announced the launch of its a i image generation platform , available to use by all shut ters tock customers globally in every language the site offers .""]"
35,34,575,34_openai_aria_vers_tsunami,"['openai', 'aria', 'vers', 'tsunami', 'integration', 'average', 'share', 'an', 'network', 'hammer']","['se quential en code r - de code r architecture and genera tive ad vers aria l networks ( g ans', 'genera tive ad vers aria l networks ( g ans ) have been a research area of much focus in the last few years', 'genera tive ad vers aria l networks ( g ans )']"
36,35,562,35_round_focus_manner_careful,"['round', 'focus', 'manner', 'careful', 'te', 'intelligence', 'insight', 'absorb', 'curate', 'culture']","['the round .', 'the round', 'the round']"
37,36,554,36_poisoning_landscape_categorization_mapping,"['poisoning', 'landscape', 'categorization', 'mapping', 'llm', 'sage', 'ination', 'hall', 'rb', 'payment']","['this new data poisoning tool', 'data poisoning in', 'data poisoning']"
38,37,551,37_cal_disruption_intervention_effect,"['cal', 'disruption', 'intervention', 'effect', 'order', 'perplexity', 'hallucinated', 'ability', 'tolerant', 'coming']","['cal ability and', 'cal ability', 's cal ability']"
39,38,541,38_correlation_gan_cooling_liquid,"['correlation', 'gan', 'cooling', 'liquid', 'emerge', 'rock', 'nt', 'divide', 'az', 'different']","['extending its industry - leading le nov o ne pt une liquid cooling for mainstream use throughout its thinks ys tem v 3 and v 4 portfolio s .', ', le nov o is pushing the envelope on liquid cooling technology , with the 6th generation of le nov o ne pt une liquid cooling , extending its industry - leading le nov o ne pt une liquid cooling for mainstream use throughout its thinks ys tem v 3 and v 4 portfolio s .', 'extending its industry - leading le nov o ne pt une liquid cooling for mainstream use throughout its thinks ys tem v 3 and v 4 portfolio s .']"
40,39,531,39_gans_scale_gnition_gpu,"['gans', 'scale', 'gnition', 'gpu', 'flight', 'bull', 'challenge', 'curate', 'adversarial', 'active']","['for risks linked to genera tive a i , such as so - called ‘ hall uc ination s where a i provides false information , the viral di sse mination of deep fa kes , as well as the automated manipulation of', 'for risks linked to genera tive a i , such as so - called ‘ hall uc ination s where a i provides false information , the viral di sse mination of deep fa kes , as well as the automated manipulation of', 'for risks linked to genera tive a i , such as so - called ‘ hall uc ination s where a i provides false information , the viral di sse mination of deep fa kes , as well as the automated manipulation of']"
41,40,525,40_deploy_mit_nica_azza,"['deploy', 'mit', 'nica', 'azza', 'realised', 'firm', 'performance', 'hate', 'authority', 'pattern']","['additionally , state agencies may lack the explicit authority to issue guidance over the development ,', 'additionally , state agencies may lack the explicit authority to issue guidance over the development ,', 'additionally , state agencies may lack the explicit authority to issue guidance over the development ,']"
42,41,524,41_stress_spinal_plastic_ents,"['stress', 'spinal', 'plastic', 'ents', 'ethnicity', 'millennium', 'instability', 'tap', 'progress', 'clearance']","['[] who are concerned about bias based on race and ethnicity in health and medicine are more optimistic than p ess im istic about a i is potential impact on the issue w hen it comes to bias and unfair treatment in health and medicine based on a patient is race or ethnicity , a majority of [] say this is a major ( 35 % ) or minor ( 35 % ) problem', 'spinal instability .', 'spinal instability']"
43,42,517,42_predictive_proposal_stay_com,"['predictive', 'proposal', 'stay', 'com', 'analytics', 'dealer', 'broker', 'software', 'turbulent', 'cott']","['use of predictive data analytics by broker - dealers and investment advisers , ” proposal , sec ( july 26 , 2023 ) ; commissioner [] , “ statement on the proposals re : conflicts of interest associated with the use of predictive data analytics by broker - dealers and investment advisers', 'use of predictive data analytics by broker - dealers and investment advisers , ” proposal , sec ( july 26 , 2023 ) ; commissioner [] , “ statement on the proposals re : conflicts of interest associated with the use of predictive data analytics by broker - dealers', 'use of predictive data analytics by broker - dealers and investment advisers , ” proposal , sec ( july 26 , 2023 ) ; commissioner [] , “ statement on the proposals re : conflicts of interest associated with the use of predictive data analytics by broker - dealers']"
44,43,512,43_revolution_decision_ulation_eval,"['revolution', 'decision', 'ulation', 'eval', 'residual', 'cope', 'remain', 'plea', 'allegation', 'tri']","[', or genera tive', 'genera tive', 'genera tive']"
45,44,511,44_presiding_midjourney_upper_remotely,"['presiding', 'midjourney', 'upper', 'remotely', 'circumstance', 'criminal', 'pull', 'dina', 'cal', 'lli']","[', the rule would allow for presiding remotely in limited circumstances when', ', the rule allows for presiding remotely in limited circumstances when', ', the rule allows for presiding remotely in limited circumstances when']"
46,45,505,45_claim_doubt_domain_exciting,"['claim', 'doubt', 'domain', 'exciting', 'modify', 'predict', 'science', 'certification', 'choosing', 'transformation']","[', leading to a more robust risk assessment by providing context and insights that may not be apparent solely from the contracts .', 'and other sources to au gment the under writing process , leading to a more robust risk assessment by providing context and insights that may not be apparent solely from the contracts .', 'and lead to brands choosing them over already established data science companies .']"
47,46,503,46_rust_rating_prime_hall,"['rust', 'rating', 'prime', 'hall', 'uc', 'ments', 'f', 'ibly', 'ination', 'ons']","['that it is f rust rating that', ', and this can be very f rust rating', ', but more f rust rating']"
48,47,500,47_potential_farmer_logistics_guaranteed,"['potential', 'farmer', 'logistics', 'guaranteed', 'telecommunication', 'completely', 'copyright', 'irregular', 'bed', 'absorbed']","['the potential', 'the potential', 'the potential']"
49,48,493,48_slack_formation_sin_transparency,"['slack', 'formation', 'sin', 'transparency', 'mi', 'spread', 'synthetic', 'acing', 'trade', 'surf']","['are using a i in slack', 'slack a i has', 'a slack']"
50,49,475,49_forgive_dall_dalle_boost,"['forgive', 'dall', 'dalle', 'boost', 'roper', 'iki', 'capitalism', 'description', 'cloud', 'prejudice']","[', you would be forgive n for', 'and you would be forgive n', 'you would be forgive n']"
51,50,474,50_prevent_identical_gradient_aligned,"['prevent', 'identical', 'gradient', 'aligned', 'difference', 'greater', 'measure', 'innovation', '7', 'stir']","['- 1 ) \\ end { aligned } $ $ ( 7 ) so more identical images have less gradient difference value which leads to greater s d measure .', '- 1 ) \\ end { aligned } $ $ ( 7 ) so more identical images have less gradient difference value which leads to greater s d measure .', '- 1 ) \\ end { aligned } $ $ ( 7 ) so more identical images have less gradient difference value which leads to greater s d measure .']"
52,51,474,51_prompt_transformation_world_hutchins,"['prompt', 'transformation', 'world', 'hutchins', 'power', 'incident', 'blue', 'tur', 'nder', 'oo']","['prompts', 'prompts', 'prompts']"
53,52,473,52_generative_ai_iva_st,"['generative', 'ai', 'iva', 'st', 'failure', 'sign', 'sale', 'ideal', 'compromised', 'card']","['with generative ai', 'with generative ai', 'with generative ai']"
54,53,469,53_stable_diffusion_urn_expertise,"['stable', 'diffusion', 'urn', 'expertise', 'tor', 'po', 'ch', 'y', 'spread', 'combination']","['stable diffusion .', '“ there is no stable diffusion', 't over their stable diffusion']"
55,54,466,54_mism_committed_latter_necessary,"['mism', 'committed', 'latter', 'necessary', 'pattern', 'mother', 'individually', 'ium', 'pol', 'ate']","[""it … which leads to the mother of all auto com ple te tools : one which can , on the fly , match patterns in the code you ' re writing with some of the millions of patterns in its corpus , and instantly extra pol ate individually personal ized code that ' s close"", ""it … which leads to the mother of all auto com ple te tools : one which can , on the fly , match patterns in the code you ' re writing with some of the millions of patterns in its corpus , and instantly extra pol ate individually personal ized code that ' s close"", ""it … which leads to the mother of all auto com ple te tools : one which can , on the fly , match patterns in the code you ' re writing with some of the millions of patterns in its corpus , and instantly extra pol ate individually personal ized code that ' s close""]"
56,55,465,55_ku_screen_lemma_music,"['ku', 'screen', 'lemma', 'music', 'rest', 'ho', 'kka', 'rik', 'ido', 'spectrum']","['ho ku rik u bank and ho kka ido bank', 'ho ku rik u bank and ho kka ido bank', 'for genera tive a i to stream line operations for ho ku rik u bank and ho kka ido bank ho ku ho ku financial group']"
57,56,462,56_sure_hill_ization_round,"['sure', 'hill', 'ization', 'round', 'hiroshima', 'actual', 'ear', 'et', 'ughter', 'stem']","['sure', 'sure', 'sure']"
58,57,460,57_www_ig_sexual_abuse,"['www', 'ig', 'sexual', 'abuse', 'visit', 'engage', 'child', 'periodic', 'intermediate', 'producing']","['to helping prevent genera tive models from producing a i generated child sexual abuse material ( a ig - c sa m ) and c se m .', 'to helping prevent genera tive models from producing a i generated child sexual abuse material ( a ig - c sa m ) and c se m .', 'to helping prevent genera tive models from producing a i generated child sexual abuse material ( a ig - c sa m ) and c se m .']"
59,58,454,58_harm_constraint_paper_practitioner,"['harm', 'constraint', 'paper', 'practitioner', 'ton', 'table', 'string', 'dub', 'regulator', 'ust']","['harm', 'harm', 'harm']"
60,59,446,59_bar_mask_ifications_ram,"['bar', 'mask', 'ifications', 'ram', 'younger', 'ination', 'memory', 'appearance', 'hall', 'uc']","['high bar for', 'high bar for', 'the bar so high']"
61,60,441,60_ello_drought_management_topia,"['ello', 'drought', 'management', 'topia', 'gg', 'expecting', 'sour', 'younger', 'nobody', 'roi']","['“ simply expecting younger working professionals to learn to use a i tools through trial and error and pass their tips and tricks on to senior professionals is not going to bridge the learning gap required for effective implementation of genera tive a i , ” k ello gg said .', '“ simply expecting younger working professionals to learn to use a i tools through trial and error and pass their tips and tricks on to senior professionals is not going to bridge the learning gap required for effective implementation of genera tive a i , ” k ello gg said .', '“ simply expecting younger working professionals to learn to use a i tools through trial and error and pass their tips and tricks on to senior professionals is not going to bridge the learning gap required for effective implementation of genera tive a i , ” k ello gg said .']"
62,61,440,61_oda_letter_cover_call,"['oda', 'letter', 'cover', 'call', 'curve', 'lities', 'teacher', 'yt', 'compulsory', 'vention']","['s and cover letters', 's and cover letters', 'cover letters']"
63,62,435,62_ubi_road_tournament_drum,"['ubi', 'road', 'tournament', 'drum', 'influence', 'fundamental', 'safeguard', 'transformation', 'q', 'guide']","[""ratings in and across the sectors and geographies where the company operates ; the company 's ability to maintain adequate physical , technical and administrative safeguards to protect the security of confidential information and data , and the potential for a system or network disruption that"", ""health crises ( e. g. , pandemics ) , geopolitical uncertainty ( including military conflict ) , and conditions that may result from legislative , regulatory , trade and policy changes ; the volatility and health of debt , equity , commodities , energy and automotive markets , including credit quality and spreads , the level of liquidity and future debt issuances , demand for investment products that track indices and assessments and trading volumes of certain exchange traded derivatives ; the demand and market for credit ratings in and across the sectors and geographies where the company operates ; the company 's ability to maintain adequate physical , technical and administrative safeguards to protect the security of confidential information and data , and the potential for a system or network disruption that"", ""products that track indices and assessments and trading volumes of certain exchange traded derivatives ; the demand and market for credit ratings in and across the sectors and geographies where the company operates ; the company 's ability to maintain adequate physical , technical and administrative safeguards to protect the security of confidential information and data , and the potential for a system or network disruption that""]"
64,63,430,63_rma_pha_advertisement_bio,"['rma', 'pha', 'advertisement', 'bio', 'rendering', 'ren', 'cry', 'vo', 'rail', 'oc']","['may be out of date and not always considered in context of current bio pha rma regulation', 'looking to tap the bio pha rma market', 'bio pha rma in particular']"
65,64,426,64_gym_design_assignment_mining,"['gym', 'design', 'assignment', 'mining', 'trusted', 'lookml', 'talent', 'ease', 'amine', 'fails']","['"" gym', '"" gym', 'a gym for the']"
66,65,425,65_verse_meta_enemy_generator,"['verse', 'meta', 'enemy', 'generator', 'tuning', 'movement', 'ale', 'cognition', 'mount', 'absurd']","[', making the meta verse more real to all .', 'using meta verse and v r technologies', 'is meta verse .']"
67,66,420,66_scent_rk_yo_collaboration,"['scent', 'rk', 'yo', 'collaboration', 'build', 'na', 'skeleton', 'stiff', 'evaluated', 'bio']","['the new yo rk times “', 'the new yo rk times', 'the new yo rk times']"
68,67,420,67_category_advertisement_iti_prior,"['category', 'advertisement', 'iti', 'prior', 'policy', 'st', 'veto', 'governor', 'ze', 'lm']","['prior iti ze', 'prior iti ze', 'prior iti ze g en a i use cases']"
69,68,420,68_fraud_sentiment_lever_aging,"['fraud', 'sentiment', 'lever', 'aging', 'mosaic', 'cks', 'bri', 'analysis', 'mechanism', 'divide']","['are lever aging genera tive a i', 'is lever aging genera tive a i', 'lever aging genera tive a i .']"
70,69,419,69_authority_seller_sustain_gold,"['authority', 'seller', 'sustain', 'gold', 'mulating', 'lazy', 'precisely', 'man', 'exposed', 'mayor']","['predict ive anal ytic s : by generating synthetic data and si mulating various scenarios , genera tive a i', 'to illustrate the possibilities , we will look at a prototype developed by precisely and a ws that uses the unique attributes of precisely data products like context crime index , context commuter score , context demographic s , context walk ability , community link , and market link to feed a genera tive a i model .', 'to illustrate the possibilities , we will look at a prototype developed by precisely and a ws that uses the unique attributes of precisely data products like context crime index , context commuter score , context demographic s , context walk ability , community link , and market link to feed a genera tive a i model .']"
71,70,418,70_condition_qui_format_surprising,"['condition', 'qui', 'format', 'surprising', 'rf', 'table', 'modeling', 'dal', 'meta', 'essence']","['e qui table access is a priority for us', 'e qui table access is a priority for us', 'e qui table access is a priority for us']"
72,71,417,71_19_mic_pan_analyst,"['19', 'mic', 'pan', 'analyst', 'complexity', 'vid', 'oversight', 'happening', 'nutrition', 'diet']","['the co vid - 19 pan de mic', 'the co vid - 19 pan de mic .', '” the co vid - 19 pan de mic']"
73,72,417,72_climate_duck_iga_algorithm,"['climate', 'duck', 'iga', 'algorithm', 'publication', 'peace', 'fast', 'response', 'as', 'healthcare']","['“ climate change should be a key consideration when', 'the world is climate change problem .', 'to climate change']"
74,73,416,73_something_transform_abrupt_cover,"['something', 'transform', 'abrupt', 'cover', 'submission', 'carefully', 'monitor', 'education', 'ped', 'iting']","['something', 'something', 'something']"
75,74,416,74_mighty_09_bridge_true,"['mighty', '09', 'bridge', 'true', '32', '00', 'especially', 'defender', 'imation', 'rp']","['us d ) , and the mighty a 100 ( 80 g b v [] , m s rp of $ 32 , 09 7 . 00 ) , among others .', 'us d ) , and the mighty a 100 ( 80 g b v [] , m s rp of $ 32 , 09 7 . 00 ) , among others .', 'us d ) , and the mighty a 100 ( 80 g b v [] , m s rp of $ 32 , 09 7 . 00 ) , among others .']"
76,75,413,75_ringing_ara_bridge_sunk,"['ringing', 'ara', 'bridge', 'sunk', 'place', 'testing', 'rump', 'turnover', 'hu', 'stage']","['“ a large restaurant chain would be able to afford robots , but home chef s or someone just starting out will not be able to afford them so we have established robotic kitchen s all across the country , where anyone can go online , create menu , recipe , put a name , and sign up on g ru b hu b or u ber eat s , ” shared sunk ara , saying that when the order comes in', 'we have established robotic kitchen s all across the country , where anyone can go online , create menu , recipe , put a name , and sign up on g ru b hu b or u ber eat s , ” shared sunk ara , saying that', 'we have established robotic kitchen s all across the country , where anyone can go online , create menu , recipe , put a name , and sign up on g ru b hu b or u ber eat s , ” shared sunk ara , saying that']"
77,76,412,76_error_thoroughly_fabrica_annoying,"['error', 'thoroughly', 'fabrica', 'annoying', 'hopefully', 'hiv', 'precision', 'fu', 'information', 'usal']","[', thoroughly test and develop a language access plan .', ', thoroughly test and develop a language access plan .', ', thoroughly test and develop a language access plan .']"
78,77,411,77_discrimination_metabolic_arch_employment,"['discrimination', 'metabolic', 'arch', 'employment', 'ety', 'race', 'act', 'soap', 'latency', 'lecturer']","['discrimination by race ,', 'violations of federal anti dis c rim ination laws , such as those administered by the equal employment opportunity commission ( e eo c ) , title v ii of the civil rights act of 1964 , age discrimination in employment act ( ad ea ) , genetic information non dis c rim ination act of 2008 ( g ina ) , and the am eric ans with disabilities act of 1990 ( ad a ) .', 'violations of federal anti dis c rim ination laws , such as those administered by the equal employment opportunity commission ( e eo c ) , title v ii of the civil rights act of 1964 , age discrimination in employment act ( ad ea ) , genetic information non dis c rim ination act of 2008 ( g ina ) , and the am eric ans with disabilities act of 1990 ( ad a ) .']"
79,78,410,78_night_edited_bard_logo,"['night', 'edited', 'bard', 'logo', 'noise', 'interview', 'chain', 'tldr', 'fo', 'computation']","['function names ( from aws ) bard ( with gemini pro ) tldr : google is bard is an ai that can not only', ""dubbed nights had e , the system will sub tly change the p ixel s in a given image but instead of confusing the models it ' s trained with like g la ze does , the poisoned image will corrupt"", ""dubbed nights had e , the system will sub tly change the p ixel s in a given image but instead of confusing the models it ' s trained with like g la ze does , the poisoned image will corrupt""]"
80,79,406,79_rock_az_bed_graph,"['rock', 'az', 'bed', 'graph', 'blur', 'remove', 'aries', 'object', 'knowledge', 'uncertain']","['it will help clients deploy am az on bed rock', 'to learn more about am az on bed rock .', ', and the am az on bed rock platform .']"
81,80,404,80_aries_test_vessel_structure,"['aries', 'test', 'vessel', 'structure', 'done', 'vers', 'coherent', 'assessed', 'apps', 'lyric']","['their ad vers aries were also intent', 'required to stop today is ad vers aries — whose', 'required to stop today is ad vers aries — whose']"
82,81,404,81_confusion_synthetic_impact_pursue,"['confusion', 'synthetic', 'impact', 'pursue', 'reasoning', 'stereotype', 'fine', 'fibre', 'twitch', 'nen']","['synthetic data', 'synthetic data', 'synthetic data']"
